sdz2021_code,statistic,value
N21000110,Access to Services Domain (Rank),421
N21000111,Multiple Deprivation Measure (Rank),236
N21000111,Income Domain (Rank),359
N21000111,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,523
N21000111,Employment Domain (18-64 years) (Rank),180
N21000111,Proportion of the working age population who are employment deprived,714
N21000111,Health Deprivation and Disability Domain (Rank),178
N21000111,"Education, Skills and Training Domain (Rank)",256
N21000111,Access to Services Domain (Rank),452
N21000112,Multiple Deprivation Measure (Rank),118
N21000112,Income Domain (Rank),304
N21000112,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,638
N21000112,Employment Domain (18-64 years) (Rank),113
N21000112,Proportion of the working age population who are employment deprived,746
N21000112,Health Deprivation and Disability Domain (Rank),129
N21000112,"Education, Skills and Training Domain (Rank)",114
N21000112,Access to Services Domain (Rank),718
N21000113,Multiple Deprivation Measure (Rank),68
N21000113,Income Domain (Rank),68
N21000113,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,808
N21000113,Employment Domain (18-64 years) (Rank),72
N21000113,Proportion of the working age population who are employment deprived,767
N21000113,Health Deprivation and Disability Domain (Rank),88
N21000113,"Education, Skills and Training Domain (Rank)",80
N21000113,Access to Services Domain (Rank),710
N21000114,Multiple Deprivation Measure (Rank),744
N21000114,Income Domain (Rank),732
N21000114,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,114
N21000114,Employment Domain (18-64 years) (Rank),712
N21000114,Proportion of the working age population who are employment deprived,142
N21000114,Health Deprivation and Disability Domain (Rank),692
N21000114,"Education, Skills and Training Domain (Rank)",738
N21000114,Access to Services Domain (Rank),261
N21000115,Multiple Deprivation Measure (Rank),681
N21000115,Income Domain (Rank),611
N21000115,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,213
N21000115,Employment Domain (18-64 years) (Rank),645
N21000115,Proportion of the working age population who are employment deprived,185
N21000115,Health Deprivation and Disability Domain (Rank),644
N21000115,"Education, Skills and Training Domain (Rank)",543
N21000115,Access to Services Domain (Rank),376
N21000116,Multiple Deprivation Measure (Rank),85
N21000116,Income Domain (Rank),52
N21000116,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,828
N21000116,Employment Domain (18-64 years) (Rank),139
N21000116,Proportion of the working age population who are employment deprived,702
N21000116,Health Deprivation and Disability Domain (Rank),146
N21000116,"Education, Skills and Training Domain (Rank)",77
N21000116,Access to Services Domain (Rank),747
N21000117,Multiple Deprivation Measure (Rank),63
N21000117,Income Domain (Rank),182
N21000117,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,694
N21000117,Employment Domain (18-64 years) (Rank),67
N21000117,Proportion of the working age population who are employment deprived,762
N21000117,Health Deprivation and Disability Domain (Rank),75
N21000117,"Education, Skills and Training Domain (Rank)",40
N21000117,Access to Services Domain (Rank),778
N21000118,Multiple Deprivation Measure (Rank),140
N21000118,Income Domain (Rank),564
N21000118,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,278
N21000118,Employment Domain (18-64 years) (Rank),103
N21000118,Proportion of the working age population who are employment deprived,731
N21000118,Health Deprivation and Disability Domain (Rank),81
N21000118,"Education, Skills and Training Domain (Rank)",103
N21000118,Access to Services Domain (Rank),504
N21000119,Multiple Deprivation Measure (Rank),534
N21000119,Income Domain (Rank),543
N21000119,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,502
N21000119,Employment Domain (18-64 years) (Rank),511
N21000119,Proportion of the working age population who are employment deprived,316
N21000119,Health Deprivation and Disability Domain (Rank),462
N21000119,"Education, Skills and Training Domain (Rank)",243
N21000119,Access to Services Domain (Rank),560
N21000120,Multiple Deprivation Measure (Rank),167
N21000120,Income Domain (Rank),119
N21000120,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,750
N21000120,Employment Domain (18-64 years) (Rank),222
N21000120,Proportion of the working age population who are employment deprived,583
N21000120,Health Deprivation and Disability Domain (Rank),211
N21000120,"Education, Skills and Training Domain (Rank)",88
N21000120,Access to Services Domain (Rank),584
N21000121,Multiple Deprivation Measure (Rank),137
N21000121,Income Domain (Rank),442
N21000121,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,417
N21000121,Employment Domain (18-64 years) (Rank),129
N21000121,Proportion of the working age population who are employment deprived,710
N21000121,Health Deprivation and Disability Domain (Rank),85
N21000121,"Education, Skills and Training Domain (Rank)",116
N21000121,Access to Services Domain (Rank),555
N21000122,Multiple Deprivation Measure (Rank),561
N21000122,Income Domain (Rank),598
N21000122,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,249
N21000122,Employment Domain (18-64 years) (Rank),504
N21000122,Proportion of the working age population who are employment deprived,325
N21000122,Health Deprivation and Disability Domain (Rank),466
N21000122,"Education, Skills and Training Domain (Rank)",236
N21000122,Access to Services Domain (Rank),494
N21000123,Multiple Deprivation Measure (Rank),222
N21000123,Income Domain (Rank),278
N21000123,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,602
N21000123,Employment Domain (18-64 years) (Rank),251
N21000123,Proportion of the working age population who are employment deprived,571
N21000123,Health Deprivation and Disability Domain (Rank),225
N21000123,"Education, Skills and Training Domain (Rank)",120
N21000123,Access to Services Domain (Rank),503
N21000124,Multiple Deprivation Measure (Rank),789
N21000124,Income Domain (Rank),746
N21000124,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,107
N21000124,Employment Domain (18-64 years) (Rank),796
N21000124,Proportion of the working age population who are employment deprived,54
N21000124,Health Deprivation and Disability Domain (Rank),743
N21000124,"Education, Skills and Training Domain (Rank)",765
N21000124,Access to Services Domain (Rank),254
N21000125,Multiple Deprivation Measure (Rank),782
N21000125,Income Domain (Rank),692
N21000125,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,168
N21000125,Employment Domain (18-64 years) (Rank),804
N21000125,Proportion of the working age population who are employment deprived,45
N21000125,Health Deprivation and Disability Domain (Rank),785
N21000125,"Education, Skills and Training Domain (Rank)",785
N21000125,Access to Services Domain (Rank),221
N21000126,Multiple Deprivation Measure (Rank),726
N21000126,Income Domain (Rank),591
N21000126,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,264
N21000126,Employment Domain (18-64 years) (Rank),766
N21000126,Proportion of the working age population who are employment deprived,79
N21000126,Health Deprivation and Disability Domain (Rank),770
N21000126,"Education, Skills and Training Domain (Rank)",781
N21000126,Access to Services Domain (Rank),175
N21000127,Multiple Deprivation Measure (Rank),736
N21000127,Income Domain (Rank),584
N21000127,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,250
N21000127,Employment Domain (18-64 years) (Rank),719
N21000127,Proportion of the working age population who are employment deprived,129
N21000127,Health Deprivation and Disability Domain (Rank),681
N21000127,"Education, Skills and Training Domain (Rank)",638
N21000127,Access to Services Domain (Rank),442
N21000128,Multiple Deprivation Measure (Rank),702
N21000128,Income Domain (Rank),531
N21000128,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,314
N21000128,Employment Domain (18-64 years) (Rank),757
N21000128,Proportion of the working age population who are employment deprived,88
N21000128,Health Deprivation and Disability Domain (Rank),761
N21000128,"Education, Skills and Training Domain (Rank)",787
N21000128,Access to Services Domain (Rank),145
N21000129,Multiple Deprivation Measure (Rank),719
N21000129,Income Domain (Rank),576
N21000129,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,260
N21000129,Employment Domain (18-64 years) (Rank),704
N21000129,Proportion of the working age population who are employment deprived,144
N21000129,Health Deprivation and Disability Domain (Rank),665
N21000129,"Education, Skills and Training Domain (Rank)",580
N21000129,Access to Services Domain (Rank),434
N21000130,Multiple Deprivation Measure (Rank),733
N21000130,Income Domain (Rank),610
N21000130,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,251
N21000130,Employment Domain (18-64 years) (Rank),759
N21000130,Proportion of the working age population who are employment deprived,89
N21000130,Health Deprivation and Disability Domain (Rank),758
N21000130,"Education, Skills and Training Domain (Rank)",783
N21000130,Access to Services Domain (Rank),184
N21000131,Multiple Deprivation Measure (Rank),720
N21000131,Income Domain (Rank),577
N21000131,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,261
N21000131,Employment Domain (18-64 years) (Rank),705
N21000131,Proportion of the working age population who are employment deprived,145
N21000131,Health Deprivation and Disability Domain (Rank),666
N21000131,"Education, Skills and Training Domain (Rank)",581
N21000131,Access to Services Domain (Rank),435
N21000132,Multiple Deprivation Measure (Rank),703
N21000132,Income Domain (Rank),585
N21000132,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,245
N21000132,Employment Domain (18-64 years) (Rank),711
N21000132,Proportion of the working age population who are employment deprived,130
N21000132,Health Deprivation and Disability Domain (Rank),722
N21000132,"Education, Skills and Training Domain (Rank)",760
N21000132,Access to Services Domain (Rank),219
N21000133,Multiple Deprivation Measure (Rank),747
N21000133,Income Domain (Rank),619
N21000133,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,214
N21000133,Employment Domain (18-64 years) (Rank),739
N21000133,Proportion of the working age population who are employment deprived,112
N21000133,Health Deprivation and Disability Domain (Rank),718
N21000133,"Education, Skills and Training Domain (Rank)",702
N21000133,Access to Services Domain (Rank),330
N21000134,Multiple Deprivation Measure (Rank),685
N21000134,Income Domain (Rank),604
N21000134,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,252
N21000134,Employment Domain (18-64 years) (Rank),754
N21000134,Proportion of the working age population who are employment deprived,84
N21000134,Health Deprivation and Disability Domain (Rank),767
N21000134,"Education, Skills and Training Domain (Rank)",739
N21000134,Access to Services Domain (Rank),59
N21000135,Multiple Deprivation Measure (Rank),547
N21000135,Income Domain (Rank),343
N21000135,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,487
N21000135,Employment Domain (18-64 years) (Rank),696
N21000135,Proportion of the working age population who are employment deprived,131
N21000135,Health Deprivation and Disability Domain (Rank),772
N21000135,"Education, Skills and Training Domain (Rank)",720
N21000135,Access to Services Domain (Rank),14
N21000136,Multiple Deprivation Measure (Rank),579
N21000136,Income Domain (Rank),533
N21000136,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,269
N21000136,Employment Domain (18-64 years) (Rank),543
N21000136,Proportion of the working age population who are employment deprived,282
N21000136,Health Deprivation and Disability Domain (Rank),599
N21000136,"Education, Skills and Training Domain (Rank)",604
N21000136,Access to Services Domain (Rank),185
N21000137,Multiple Deprivation Measure (Rank),540
N21000137,Income Domain (Rank),409
N21000137,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,438
N21000137,Employment Domain (18-64 years) (Rank),549
N21000137,Proportion of the working age population who are employment deprived,291
N21000137,Health Deprivation and Disability Domain (Rank),521
N21000137,"Education, Skills and Training Domain (Rank)",463
N21000137,Access to Services Domain (Rank),236
N21000138,Multiple Deprivation Measure (Rank),409
N21000138,Income Domain (Rank),424
N21000138,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,488
N21000138,Employment Domain (18-64 years) (Rank),293
N21000138,Proportion of the working age population who are employment deprived,601
N21000138,Health Deprivation and Disability Domain (Rank),335
N21000138,"Education, Skills and Training Domain (Rank)",386
N21000138,Access to Services Domain (Rank),590
N21000139,Multiple Deprivation Measure (Rank),251
N21000139,Income Domain (Rank),502
N21000139,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,428
N21000139,Employment Domain (18-64 years) (Rank),148
N21000139,Proportion of the working age population who are employment deprived,695
N21000139,Health Deprivation and Disability Domain (Rank),190
N21000139,"Education, Skills and Training Domain (Rank)",204
N21000139,Access to Services Domain (Rank),621
N21000140,Multiple Deprivation Measure (Rank),272
N21000140,Income Domain (Rank),392
N21000140,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,533
N21000140,Employment Domain (18-64 years) (Rank),212
N21000140,Proportion of the working age population who are employment deprived,651
N21000140,Health Deprivation and Disability Domain (Rank),223
N21000140,"Education, Skills and Training Domain (Rank)",217
N21000140,Access to Services Domain (Rank),673
N21000141,Multiple Deprivation Measure (Rank),607
N21000141,Income Domain (Rank),510
N21000141,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,355
N21000141,Employment Domain (18-64 years) (Rank),591
N21000141,Proportion of the working age population who are employment deprived,200
N21000141,Health Deprivation and Disability Domain (Rank),657
N21000141,"Education, Skills and Training Domain (Rank)",542
N21000141,Access to Services Domain (Rank),249
N21000142,Multiple Deprivation Measure (Rank),220
N21000142,Income Domain (Rank),393
N21000142,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,546
N21000142,Employment Domain (18-64 years) (Rank),168
N21000142,Proportion of the working age population who are employment deprived,656
N21000142,Health Deprivation and Disability Domain (Rank),209
N21000142,"Education, Skills and Training Domain (Rank)",131
N21000142,Access to Services Domain (Rank),574
N21000143,Multiple Deprivation Measure (Rank),390
N21000143,Income Domain (Rank),532
N21000143,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,372
N21000143,Employment Domain (18-64 years) (Rank),291
N21000143,Proportion of the working age population who are employment deprived,542
N21000143,Health Deprivation and Disability Domain (Rank),331
N21000143,"Education, Skills and Training Domain (Rank)",197
N21000143,Access to Services Domain (Rank),450
N21000144,Multiple Deprivation Measure (Rank),488
N21000144,Income Domain (Rank),417
N21000144,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,480
N21000144,Employment Domain (18-64 years) (Rank),413
N21000144,Proportion of the working age population who are employment deprived,520
N21000144,Health Deprivation and Disability Domain (Rank),399
N21000144,"Education, Skills and Training Domain (Rank)",446
N21000144,Access to Services Domain (Rank),581
N21000145,Multiple Deprivation Measure (Rank),493
N21000145,Income Domain (Rank),596
N21000145,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,273
N21000145,Employment Domain (18-64 years) (Rank),343
N21000145,Proportion of the working age population who are employment deprived,481
N21000145,Health Deprivation and Disability Domain (Rank),419
N21000145,"Education, Skills and Training Domain (Rank)",288
N21000145,Access to Services Domain (Rank),437
N21000146,Multiple Deprivation Measure (Rank),618
N21000146,Income Domain (Rank),522
N21000146,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,328
N21000146,Employment Domain (18-64 years) (Rank),640
N21000146,Proportion of the working age population who are employment deprived,206
N21000146,Health Deprivation and Disability Domain (Rank),707
N21000146,"Education, Skills and Training Domain (Rank)",727
N21000146,Access to Services Domain (Rank),229
N21000147,Multiple Deprivation Measure (Rank),563
N21000147,Income Domain (Rank),420
N21000147,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,447
N21000147,Employment Domain (18-64 years) (Rank),575
N21000147,Proportion of the working age population who are employment deprived,237
N21000147,Health Deprivation and Disability Domain (Rank),671
N21000147,"Education, Skills and Training Domain (Rank)",670
N21000147,Access to Services Domain (Rank),176
N21000148,Multiple Deprivation Measure (Rank),391
N21000148,Income Domain (Rank),175
N21000148,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,639
N21000148,Employment Domain (18-64 years) (Rank),475
N21000148,Proportion of the working age population who are employment deprived,346
N21000148,Health Deprivation and Disability Domain (Rank),562
N21000148,"Education, Skills and Training Domain (Rank)",506
N21000148,Access to Services Domain (Rank),179
N21000149,Multiple Deprivation Measure (Rank),380
N21000149,Income Domain (Rank),139
N21000149,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,643
N21000149,Employment Domain (18-64 years) (Rank),456
N21000149,Proportion of the working age population who are employment deprived,375
N21000149,Health Deprivation and Disability Domain (Rank),476
N21000149,"Education, Skills and Training Domain (Rank)",460
N21000149,Access to Services Domain (Rank),195
N21000150,Multiple Deprivation Measure (Rank),675
N21000150,Income Domain (Rank),615
N21000150,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,228
N21000150,Employment Domain (18-64 years) (Rank),708
N21000150,Proportion of the working age population who are employment deprived,135
N21000150,Health Deprivation and Disability Domain (Rank),661
N21000150,"Education, Skills and Training Domain (Rank)",519
N21000150,Access to Services Domain (Rank),238
N21000151,Multiple Deprivation Measure (Rank),731
N21000151,Income Domain (Rank),729
N21000151,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,129
N21000151,Employment Domain (18-64 years) (Rank),717
N21000151,Proportion of the working age population who are employment deprived,123
N21000151,Health Deprivation and Disability Domain (Rank),711
N21000151,"Education, Skills and Training Domain (Rank)",728
N21000151,Access to Services Domain (Rank),166
N21000152,Multiple Deprivation Measure (Rank),554
N21000152,Income Domain (Rank),432
N21000152,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,448
N21000152,Employment Domain (18-64 years) (Rank),589
N21000152,Proportion of the working age population who are employment deprived,228
N21000152,Health Deprivation and Disability Domain (Rank),550
N21000152,"Education, Skills and Training Domain (Rank)",381
N21000152,Access to Services Domain (Rank),258
N21000153,Multiple Deprivation Measure (Rank),633
N21000153,Income Domain (Rank),571
N21000153,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,307
N21000153,Employment Domain (18-64 years) (Rank),669
N21000153,Proportion of the working age population who are employment deprived,170
N21000153,Health Deprivation and Disability Domain (Rank),624
N21000153,"Education, Skills and Training Domain (Rank)",423
N21000153,Access to Services Domain (Rank),251
N21000154,Multiple Deprivation Measure (Rank),732
N21000154,Income Domain (Rank),730
N21000154,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,130
N21000154,Employment Domain (18-64 years) (Rank),718
N21000154,Proportion of the working age population who are employment deprived,124
N21000154,Health Deprivation and Disability Domain (Rank),712
N21000154,"Education, Skills and Training Domain (Rank)",729
N21000154,Access to Services Domain (Rank),167
N21000155,Multiple Deprivation Measure (Rank),555
N21000155,Income Domain (Rank),433
N21000155,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,449
N21000155,Employment Domain (18-64 years) (Rank),590
N21000155,Proportion of the working age population who are employment deprived,229
N21000155,Health Deprivation and Disability Domain (Rank),551
N21000155,"Education, Skills and Training Domain (Rank)",382
N21000155,Access to Services Domain (Rank),259
N21000156,Multiple Deprivation Measure (Rank),573
N21000156,Income Domain (Rank),503
N21000156,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,359
N21000156,Employment Domain (18-64 years) (Rank),535
N21000156,Proportion of the working age population who are employment deprived,285
N21000156,Health Deprivation and Disability Domain (Rank),581
N21000156,"Education, Skills and Training Domain (Rank)",545
N21000156,Access to Services Domain (Rank),193
N21000157,Multiple Deprivation Measure (Rank),326
N21000157,Income Domain (Rank),94
N21000157,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,705
N21000157,Employment Domain (18-64 years) (Rank),497
N21000157,Proportion of the working age population who are employment deprived,328
N21000157,Health Deprivation and Disability Domain (Rank),614
N21000157,"Education, Skills and Training Domain (Rank)",567
N21000157,Access to Services Domain (Rank),90
N21000158,Multiple Deprivation Measure (Rank),330
N21000158,Income Domain (Rank),105
N21000158,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,721
N21000158,Employment Domain (18-64 years) (Rank),513
N21000158,Proportion of the working age population who are employment deprived,317
N21000158,Health Deprivation and Disability Domain (Rank),579
N21000158,"Education, Skills and Training Domain (Rank)",550
N21000158,Access to Services Domain (Rank),93
N21000159,Multiple Deprivation Measure (Rank),361
N21000159,Income Domain (Rank),102
N21000159,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,722
N21000159,Employment Domain (18-64 years) (Rank),493
N21000159,Proportion of the working age population who are employment deprived,329
N21000159,Health Deprivation and Disability Domain (Rank),572
N21000159,"Education, Skills and Training Domain (Rank)",588
N21000159,Access to Services Domain (Rank),109
N21000160,Multiple Deprivation Measure (Rank),183
N21000160,Income Domain (Rank),18
N21000160,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,820
N21000160,Employment Domain (18-64 years) (Rank),317
N21000160,Proportion of the working age population who are employment deprived,493
N21000160,Health Deprivation and Disability Domain (Rank),488
N21000160,"Education, Skills and Training Domain (Rank)",534
N21000160,Access to Services Domain (Rank),147
N21000161,Multiple Deprivation Measure (Rank),87
N21000161,Income Domain (Rank),161
N21000161,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,723
N21000161,Employment Domain (18-64 years) (Rank),107
N21000161,Proportion of the working age population who are employment deprived,721
N21000161,Health Deprivation and Disability Domain (Rank),94
N21000161,"Education, Skills and Training Domain (Rank)",64
N21000161,Access to Services Domain (Rank),659
N21000162,Multiple Deprivation Measure (Rank),191
N21000162,Income Domain (Rank),326
N21000162,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,542
N21000162,Employment Domain (18-64 years) (Rank),204
N21000162,Proportion of the working age population who are employment deprived,602
N21000162,Health Deprivation and Disability Domain (Rank),166
N21000162,"Education, Skills and Training Domain (Rank)",97
N21000162,Access to Services Domain (Rank),726
N21000163,Multiple Deprivation Measure (Rank),246
N21000163,Income Domain (Rank),411
N21000163,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,429
N21000163,Employment Domain (18-64 years) (Rank),195
N21000163,Proportion of the working age population who are employment deprived,596
N21000163,Health Deprivation and Disability Domain (Rank),162
N21000163,"Education, Skills and Training Domain (Rank)",133
N21000163,Access to Services Domain (Rank),749
N21000164,Multiple Deprivation Measure (Rank),101
N21000164,Income Domain (Rank),243
N21000164,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,659
N21000164,Employment Domain (18-64 years) (Rank),102
N21000164,Proportion of the working age population who are employment deprived,732
N21000164,Health Deprivation and Disability Domain (Rank),91
N21000164,"Education, Skills and Training Domain (Rank)",75
N21000164,Access to Services Domain (Rank),441
N21000165,Multiple Deprivation Measure (Rank),274
N21000165,Income Domain (Rank),495
N21000165,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,347
N21000165,Employment Domain (18-64 years) (Rank),186
N21000165,Proportion of the working age population who are employment deprived,625
N21000165,Health Deprivation and Disability Domain (Rank),147
N21000165,"Education, Skills and Training Domain (Rank)",185
N21000165,Access to Services Domain (Rank),813
N21000166,Multiple Deprivation Measure (Rank),170
N21000166,Income Domain (Rank),267
N21000166,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,644
N21000166,Employment Domain (18-64 years) (Rank),164
N21000166,Proportion of the working age population who are employment deprived,679
N21000166,Health Deprivation and Disability Domain (Rank),142
N21000166,"Education, Skills and Training Domain (Rank)",134
N21000166,Access to Services Domain (Rank),707
N21000167,Multiple Deprivation Measure (Rank),105
N21000167,Income Domain (Rank),223
N21000167,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,625
N21000167,Employment Domain (18-64 years) (Rank),89
N21000167,Proportion of the working age population who are employment deprived,763
N21000167,Health Deprivation and Disability Domain (Rank),87
N21000167,"Education, Skills and Training Domain (Rank)",215
N21000167,Access to Services Domain (Rank),787
N21000168,Multiple Deprivation Measure (Rank),47
N21000168,Income Domain (Rank),37
N21000168,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,821
N21000168,Employment Domain (18-64 years) (Rank),49
N21000168,Proportion of the working age population who are employment deprived,808
N21000168,Health Deprivation and Disability Domain (Rank),42
N21000168,"Education, Skills and Training Domain (Rank)",118
N21000168,Access to Services Domain (Rank),774
N21000169,Multiple Deprivation Measure (Rank),29
N21000169,Income Domain (Rank),13
N21000169,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,835
N21000169,Employment Domain (18-64 years) (Rank),34
N21000169,Proportion of the working age population who are employment deprived,815
N21000169,Health Deprivation and Disability Domain (Rank),29
N21000169,"Education, Skills and Training Domain (Rank)",82
N21000169,Access to Services Domain (Rank),800
N21000170,Multiple Deprivation Measure (Rank),94
N21000170,Income Domain (Rank),80
N21000170,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,786
N21000170,Employment Domain (18-64 years) (Rank),99
N21000170,Proportion of the working age population who are employment deprived,776
N21000170,Health Deprivation and Disability Domain (Rank),74
N21000170,"Education, Skills and Training Domain (Rank)",130
N21000170,Access to Services Domain (Rank),777
N21000171,Multiple Deprivation Measure (Rank),15
N21000171,Income Domain (Rank),36
N21000171,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,827
N21000171,Employment Domain (18-64 years) (Rank),1
N21000171,Proportion of the working age population who are employment deprived,849
N21000171,Health Deprivation and Disability Domain (Rank),8
N21000171,"Education, Skills and Training Domain (Rank)",32
N21000171,Access to Services Domain (Rank),769
N21000172,Multiple Deprivation Measure (Rank),35
N21000172,Income Domain (Rank),65
N21000172,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,802
N21000172,Employment Domain (18-64 years) (Rank),31
N21000172,Proportion of the working age population who are employment deprived,828
N21000172,Health Deprivation and Disability Domain (Rank),20
N21000172,"Education, Skills and Training Domain (Rank)",57
N21000172,Access to Services Domain (Rank),756
N21000173,Multiple Deprivation Measure (Rank),18
N21000173,Income Domain (Rank),7
N21000173,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,843
N21000173,Employment Domain (18-64 years) (Rank),32
N21000173,Proportion of the working age population who are employment deprived,827
N21000173,Health Deprivation and Disability Domain (Rank),24
N21000173,"Education, Skills and Training Domain (Rank)",47
N21000173,Access to Services Domain (Rank),758
N21000174,Multiple Deprivation Measure (Rank),1
N21000174,Income Domain (Rank),16
N21000174,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,841
N21000174,Employment Domain (18-64 years) (Rank),4
N21000174,Proportion of the working age population who are employment deprived,839
N21000174,Health Deprivation and Disability Domain (Rank),4
N21000174,"Education, Skills and Training Domain (Rank)",18
N21000174,Access to Services Domain (Rank),743
N21000175,Multiple Deprivation Measure (Rank),8
N21000175,Income Domain (Rank),62
N21000175,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,794
N21000175,Employment Domain (18-64 years) (Rank),11
N21000175,Proportion of the working age population who are employment deprived,844
N21000175,Health Deprivation and Disability Domain (Rank),11
N21000175,"Education, Skills and Training Domain (Rank)",19
N21000175,Access to Services Domain (Rank),833
N21000176,Multiple Deprivation Measure (Rank),7
N21000176,Income Domain (Rank),174
N21000176,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,701
N21000176,Employment Domain (18-64 years) (Rank),8
N21000176,Proportion of the working age population who are employment deprived,846
N21000176,Health Deprivation and Disability Domain (Rank),6
N21000176,"Education, Skills and Training Domain (Rank)",11
N21000176,Access to Services Domain (Rank),811
N21000177,Multiple Deprivation Measure (Rank),10
N21000177,Income Domain (Rank),140
N21000177,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,751
N21000177,Employment Domain (18-64 years) (Rank),18
N21000177,Proportion of the working age population who are employment deprived,847
N21000177,Health Deprivation and Disability Domain (Rank),10
N21000177,"Education, Skills and Training Domain (Rank)",8
N21000177,Access to Services Domain (Rank),784
N21000178,Multiple Deprivation Measure (Rank),5
N21000178,Income Domain (Rank),114
N21000178,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,716
N21000178,Employment Domain (18-64 years) (Rank),3
N21000178,Proportion of the working age population who are employment deprived,850
N21000178,Health Deprivation and Disability Domain (Rank),5
N21000178,"Education, Skills and Training Domain (Rank)",12
N21000178,Access to Services Domain (Rank),752
N21000179,Multiple Deprivation Measure (Rank),229
N21000179,Income Domain (Rank),254
N21000179,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,534
N21000179,Employment Domain (18-64 years) (Rank),203
N21000179,Proportion of the working age population who are employment deprived,640
N21000179,Health Deprivation and Disability Domain (Rank),192
N21000179,"Education, Skills and Training Domain (Rank)",156
N21000179,Access to Services Domain (Rank),597
N21000180,Multiple Deprivation Measure (Rank),207
N21000180,Income Domain (Rank),209
N21000180,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,630
N21000180,Employment Domain (18-64 years) (Rank),206
N21000180,Proportion of the working age population who are employment deprived,628
N21000180,Health Deprivation and Disability Domain (Rank),208
